No	Bulan	Tahun	penjualan permen	penjualan sereal	penjualan buah pisang
1	1	1996	200661	10324	112146
2	2	1996	297141	13150	175417
3	3	1996	235586	5398	104645
4	4	1996	299498	7609	112283
5	5	1996	395824	5190	137083
6	6	1996	247212	14571	198130
7	7	1996	273899	13407	194685
8	8	1996	184405	8914	100091
9	9	1996	141211	3663	194972
10	10	1996	292225	14756	133166
11	11	1996	227864	3883	155598
12	12	1996	259963	5720	104563
13	1	1997	433783	16209	104216
14	2	1997	343034	5955	142908
15	3	1997	419255	14789	135994
16	4	1997	393175	11150	154659
17	5	1997	304954	4930	122983
18	6	1997	439380	15041	104657
19	7	1997	270706	14210	163008
20	8	1997	319472	5002	149116
21	9	1997	262688	3172	144727
22	10	1997	322140	9818	148500
23	11	1997	467572	13545	120676
24	12	1997	431484	2372	162135
